id,Tempo,BeatCount,HarmonicMean,HarmonicMax,PercussiveMean,PercussiveMedian,PercussiveMin,dynamic_range,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid_std,spectral_bandwidth_average,spectral_rolloff_std,spectral_rolloff_max,spectral_contrast_mean_0,spectral_contrast_mean_1,spectral_contrast_mean_2,spectral_contrast_mean_3,spectral_contrast_mean_4,spectral_contrast_mean_5,spectral_contrast_mean_6,spectral_contrast_std_0,spectral_contrast_std_1,spectral_contrast_std_2,spectral_contrast_std_3,spectral_contrast_std_4,spectral_contrast_std_5,spectral_contrast_std_6,spectral_contrast_max_0,spectral_contrast_max_1,spectral_contrast_max_2,spectral_contrast_max_3,spectral_contrast_max_4,spectral_contrast_max_5,spectral_contrast_max_6,spectral_flatness_average,spectral_flatness_max,onset_strength_average,onset_strength_max,mid_energy_ratio,high_energy_ratio,mel_mean,mel_std,flux_mean,flux_std,class
blues.00003.au,63.02400914634146,27,0.06061805,0.4610453,0.0040051276,0.0010268791,-0.46646366,0.4010877,0.48210135,0.48730946,0.5463057,0.6346955,0.74585867,0.6636387,0.5651415,0.4843324,0.4682183,0.49893966,0.47868967,0.5191812,0.2519683,0.23478036,0.24783781,0.26536596,0.3116052,0.29033712,0.26202664,0.21551259,0.19719489,0.2410005,0.21441168,0.2776231,-255.863,187.65501,4.706846,28.99307,10.630202,5.6955442,14.281082,-3.4320695,7.9402657,4.17945,3.0001545,7.707005,-1.7349193,429.60515591080656,1542.482034297064,1204.3332474920783,7687.353515625,22.111135430577885,10.750198236838532,14.026238130761437,17.21405275446326,17.01130569405827,16.456222844351327,59.07852461145004,4.779874146541682,3.5876356798812163,4.046075614813634,3.7549928952162026,3.418795950534618,2.6519626784859844,5.361793956744316,65.16289192337373,31.720496004980383,32.562814892532145,38.18743345427212,31.586838252351107,29.421020198957887,70.65365122089226,6.3175077e-07,0.000929319,0.9520114,9.751947,0.25898197,0.14221847,5.163978,51.519516,0.92587906,0.9520114,blues
blues.00004.au,135.99917763157896,65,0.021076921,0.5446923,0.0054931985,0.0014781883,-0.31662717,0.3362522,0.33240753,0.4047115,0.2946767,0.23348008,0.5247126,0.30046862,0.1643277,0.29872164,0.37760448,0.5336679,0.33938152,0.23893598,0.3041795,0.32173622,0.2773134,0.18632284,0.36624128,0.23288362,0.18758963,0.30451733,0.2532013,0.35238338,0.24988963,0.2135923,-229.94037,186.61574,-45.069046,22.180395,-7.4955,-20.719995,8.426599,-18.146204,-6.115223,-3.531264,-8.069304,0.92556703,-10.898318,600.3000179765369,1713.8692201733725,1308.2002954927657,7278.22265625,14.10766437471738,10.380947516802875,15.98323991963695,19.768899647297687,19.573410781506503,19.606359742221137,63.378139770330336,4.718656575666356,3.6622846490038468,4.080609710076877,4.816270687539006,4.200101148180108,4.151188819707128,5.681431630073245,56.82060037423505,25.769471174535358,34.5089901897703,46.550449586543095,37.439009901191916,32.89578876928437,81.22640977146327,8.848978e-07,0.0009427992,1.3278688,11.22922,0.459656,0.28362477,1.7523899,11.159093,1.155436,1.3278688,blues
blues.00002.au,156.60511363636363,75,0.04027319,0.5271035,0.010234591,0.003478874,-0.45266315,0.33649188,0.3717434,0.27693176,0.3687569,0.46403033,0.5569611,0.39696127,0.37189314,0.3456582,0.3957478,0.44874743,0.45627782,0.59490174,0.25144547,0.21074751,0.26936007,0.27585348,0.3368311,0.2618808,0.2575411,0.2581384,0.25473008,0.32176316,0.26818016,0.3414296,-169.16246,209.01581,-48.92312,34.312187,-1.2921054,-1.5914111,21.663424,-11.186393,8.004928,-2.6857007,-3.0176365,6.6343713,-9.889879,422.15828545779493,1701.5157708632937,967.6120025978712,6675.29296875,18.742528277489043,10.406870640666536,14.602023205664826,18.411696911635495,19.12294953467057,18.096241316722267,63.41780206351533,5.356647105719508,3.731391172168083,4.435861088100126,4.67303997434939,3.9638811931386915,3.246496217907674,4.198335947414048,51.65040518846592,33.93662454135844,34.726461521004765,41.336294005057965,34.19106832462238,31.4954186659169,72.2650346202356,6.1170266e-07,0.000981822,1.129963,9.706524,0.38925886,0.23056906,6.0335827,25.888214,1.1157075,1.129963,blues
blues.00010.au,161.4990234375,71,0.06495256,0.8405902,0.007923,0.0014385483,-0.7300364,0.5207393,0.47307023,0.23942779,0.26991192,0.4190593,0.41985795,0.45513445,0.3323915,0.37057367,0.23828307,0.26087883,0.38856483,0.39084458,0.3680308,0.2149652,0.2267378,0.35556778,0.30025363,0.40262383,0.27754357,0.3176021,0.24891488,0.2766941,0.31721032,0.27045175,-234.75931,179.66689,-18.395636,13.726544,6.2967525,-12.941089,2.409785,-9.649612,-1.7126894,3.5809867,-4.9750185,-0.8246146,-1.9793464,456.9679483288971,1443.1212995126073,1214.9101057295888,6826.025390625,13.252025083337022,12.81978106661477,18.453463931622434,21.21459471871579,17.831816899934104,17.93591348108997,59.20885978993967,5.575920215276699,4.948263695947944,6.386317398239289,5.97647295568839,4.8773855995955815,3.786870172409864,5.971436237413648,37.55960648456584,32.33146309440128,41.51243195891276,43.18805167513729,32.82290812052807,31.336840993107725,77.02478768346333,3.3125093e-07,5.3509368e-05,2.1661446,23.401894,0.45530093,0.1983872,5.5399656,53.864105,1.2107738,2.1661446,blues
blues.00007.au,92.28515625,46,0.05084285,0.5041508,0.006281752,0.0018698343,-0.5503113,0.4286904,0.4030486,0.34606233,0.40019488,0.30238047,0.28098595,0.33217514,0.26584598,0.27785236,0.3910375,0.5504944,0.6506733,0.5937644,0.25066802,0.27578852,0.31301743,0.2682778,0.2582841,0.29077947,0.23346391,0.25487828,0.25726265,0.29621005,0.32448798,0.31512347,-237.11267,182.71739,-24.801256,20.958649,21.950829,7.467,9.4300995,-15.978484,-0.46563035,2.2692468,-11.671389,-1.9204874,-6.417819,675.3982266167802,1520.2573710860015,1317.343585752216,7364.35546875,16.973458133748196,14.32743287686511,17.564970436311114,18.7574177067277,19.529356213114603,19.571659918355497,59.752607404459894,5.004696433887351,4.513993375789214,4.663936243522459,4.784925554203844,4.054660088352074,3.59473810893867,6.5174914742211,52.055582558003685,33.947275591747804,38.48835423033738,38.15706377837556,31.619516576889055,32.65209747057154,74.38937600567918,7.3815806e-07,0.0011888597,1.2083989,10.739165,0.2749779,0.24719521,4.0172777,33.32989,1.0215172,1.2083989,blues
blues.00001.au,105.46875,51,0.02183091,0.2458788,0.005392746,0.0012911144,-0.21631873,0.29289803,0.5102455,0.44306365,0.42980358,0.33930448,0.33584568,0.44533297,0.49238467,0.5762641,0.4655692,0.38961634,0.39980048,0.44040665,0.3599495,0.31609556,0.31193238,0.26797405,0.24808349,0.30743074,0.2733939,0.33532867,0.29449296,0.26847446,0.2841487,0.28627703,-268.66608,172.33015,-12.672491,45.505966,6.846703,9.849479,18.733969,-10.533256,18.118755,3.6555061,-4.8473215,9.79822,-4.5013585,616.4363600244942,1975.6873743110398,1729.1404829385708,8204.150390625,12.392604748032424,13.245158624187491,16.423785611380875,18.343832670044993,16.828649628457246,17.132937405885663,62.0725718735213,4.610869180122011,4.531710732869949,4.666812670088501,4.600985533911762,3.5726017680654643,3.3889755757316693,6.591804142652148,37.90890510593836,33.52006615629256,36.711634138415775,34.94855346294424,31.452032821982225,31.704958382371334,75.98477316377821,8.438255e-07,0.0009140151,1.1065398,13.365573,0.2470987,0.22777897,2.2005424,14.807955,1.015042,1.1065398,blues
blues.00009.au,80.74951171875,41,0.033729196,0.6418878,0.0033318503,0.00088316377,-0.3043232,0.31892174,0.29489493,0.35312784,0.49823502,0.35313305,0.24559112,0.31691524,0.30609608,0.44347832,0.32483158,0.26748314,0.29105806,0.2980349,0.30216697,0.30033952,0.37538734,0.29017594,0.23384506,0.3282332,0.25283337,0.3815359,0.27855667,0.25908282,0.31247592,0.2907893,-271.07452,167.43013,-29.048126,38.681248,6.394658,-13.870217,11.040931,-8.851775,4.6070266,-2.0788581,-11.025799,5.138784,-5.4946895,534.742176404992,1945.550000423268,1205.059137662109,6847.55859375,10.528087037368653,13.178856217961725,18.58947319477344,19.421785945020673,17.161022527017227,18.73597418196898,64.17188539294062,4.03880361865661,4.516295135634528,4.705652243806908,4.70275644474748,3.650859418634603,4.3455831979857145,5.39248716314764,37.9579069301797,31.931576949912493,36.811607487673946,42.41834446524285,29.741679588883663,33.620596683914385,79.63808592818849,1.3757693e-06,0.0010612854,0.722052,8.125542,0.33416593,0.29927692,1.9854205,19.9192,0.92765015,0.722052,blues
blues.00011.au,161.4990234375,82,0.03170206,0.479357,0.0018865927,0.00043522625,-0.14990431,0.28699622,0.37521958,0.33976075,0.39308313,0.49881688,0.6816584,0.67027736,0.5606336,0.5364856,0.50940585,0.5116576,0.4363235,0.43155593,0.2786723,0.2411622,0.23647682,0.2473865,0.3228849,0.32868698,0.26546082,0.27176636,0.26180184,0.28908113,0.25350246,0.2901142,-334.45554,154.03691,6.3483095,29.535648,17.682734,4.717048,13.910981,-0.91225976,4.442084,6.022602,1.5784733,5.816537,-2.9258554,718.3263925168296,1658.270583760592,1724.4219842451494,6912.158203125,22.0175700858014,12.91182934096309,14.657227937188614,16.992771952611896,16.05993829205679,15.97382042359283,59.52111533270441,5.677020156638598,4.416049596764699,4.5451329213608815,4.289707219214663,3.365626028688324,2.8258158334948424,5.496253263118243,74.12600556112943,33.652068689355055,36.07888142293065,36.58610077326516,28.451930409171872,31.376362791143805,74.36085424600196,1.5938408e-06,0.00013853966,1.1379281,9.533845,0.22069533,0.19883302,1.3404516,15.752318,1.0133213,1.1379281,blues
blues.00005.au,69.83741554054055,34,0.035462577,0.5940321,0.0057734656,0.0014392072,-0.49985313,0.46335897,0.3944021,0.61234224,0.43808568,0.21297073,0.2951473,0.33907214,0.42850384,0.348761,0.35331854,0.33856693,0.43233612,0.33640394,0.22135638,0.36801496,0.2865408,0.15854049,0.29039866,0.2780669,0.33262888,0.27302334,0.28999344,0.26076195,0.32427365,0.27317938,-235.84529,170.23775,-28.674406,29.56285,2.591238,-13.543673,9.786148,-15.548944,-4.4183383,0.27487633,-7.6766167,-0.8178452,-10.075501,1021.9089752111746,1678.5301011272127,1865.9259091305469,7816.552734375,14.125620976153487,14.654533312680655,17.144266465118246,19.859356885422446,19.320822003180037,19.124372754018427,62.314503698488245,5.147180950324599,5.263049630031409,5.38025807971146,4.9937354596973025,4.196316458338838,3.7290968342882773,7.352107578362673,49.504898213928676,34.7904006239736,44.112884528302985,38.84021827487196,34.8460622914854,33.903665275802595,79.50215088552294,4.2427743e-07,0.00014512448,1.3925848,15.379716,0.34395373,0.28750372,2.4253814,25.27191,1.0017096,1.3925848,blues
blues.00000.au,126.04801829268293,61,0.026365649,0.39811525,0.0068125227,0.002242804,-0.2873973,0.34979537,0.39801696,0.42098325,0.48498052,0.3387478,0.32878122,0.40359867,0.414997,0.45886406,0.3639078,0.40034622,0.45928502,0.44396162,0.32365188,0.2989619,0.32293233,0.24901286,0.26005682,0.29150325,0.2757751,0.3422233,0.25914368,0.2816317,0.3210069,0.2993993,-183.93771,184.16307,-44.58571,42.459545,8.503327,2.4093733,15.973443,-13.632985,11.276896,-1.8356501,-4.814004,8.058418,-6.6901865,382.0844614003753,1966.1632986682132,983.2605954369665,7730.419921875,12.809645144487746,11.43546438070664,15.760948123739524,17.453005637440366,17.35912607776934,16.945613581141895,63.09626392776656,4.752865349137311,3.8738132797427456,4.412471533550989,4.128692482721848,3.605256507949864,2.7706009854356655,3.7563792997326106,48.11108316380337,27.19325505599103,34.79253351954301,36.8244766018737,31.675322217668814,28.150726665333213,72.1851254459944,4.989872e-07,0.0003587615,0.82966006,7.071812,0.3212779,0.30123177,3.676653,23.121046,1.0123461,0.82966006,blues
