id,Tempo,BeatCount,HarmonicMean,HarmonicMedian,HarmonicMin,HarmonicMax,PercussiveMean,PercussiveMedian,PercussiveMin,PercussiveMax,rms_average,rms_std,rms_max,dynamic_range,zero_crossing_rate_average,zero_crossing_rate_std,chroma_average,chroma_std,MFCC_average,MFCC_std,spectral_centroid_average,spectral_centroid_std,spectral_centroid_max,spectral_bandwidth_average,spectral_bandwidth_std,spectral_bandwidth_max,spectral_rolloff_average,spectral_rolloff_std,spectral_rolloff_max,spectral_contrast_average,spectral_contrast_std,spectral_contrast_max,spectral_flatness_average,spectral_flatness_std,spectral_flatness_max,onset_strength_average,onset_strength_std,onset_strength_max,low_energy_ratio,mid_energy_ratio,high_energy_ratio,class
blues.00002.au,156.60511363636363,75,0.04027318,0.02502786,-0.54605865,0.5271036,0.010234589,0.0034788742,-0.45266318,0.5157966,0.17322065,0.0595748,0.3566148,0.33649188,0.03899849097302784,0.01790060019417752,0.42071754,0.29097658,2.4524603,79.1614,1497.2976131881435,422.15826914759066,4724.228411138782,1701.5162091285351,309.5266276174918,2697.195700637302,2899.9946519683936,967.6120025978712,6675.29296875,18.733389925391023,5.360070220418831,51.655330011735025,6.117026e-07,2.0066318e-05,0.0009818219,1.1157076,1.129963,9.706524,0.38017207,0.38925883,0.23056906,blues
blues.00022.au,97.50884433962264,42,0.040700536,0.022064881,-0.67678183,0.8964322,0.0052219927,0.0012704481,-0.28455412,0.38553402,0.11137611,0.06433886,0.44125217,0.42684403,0.029757022488882443,0.028312840888961615,0.39744383,0.32338786,-1.6454161,95.04716,1092.467148149971,547.7749711018514,3554.357801800307,1449.1716813885835,260.8570210261265,2759.0313367998438,2035.948573805222,1165.5385325984637,6093.896484375,12.004555538153575,3.967674731071152,34.31449887335949,2.3881267e-07,5.4794186e-06,0.00026999877,1.0342643,1.0658368,8.50967,0.5600822,0.25771487,0.18220295,blues
blues.00010.au,161.4990234375,71,0.06495253,0.026433822,-0.8503489,0.8405902,0.0079230005,0.0014385476,-0.7300364,0.5280032,0.14051113,0.09923367,0.52344054,0.5207393,0.0319174687620843,0.011598695343524548,0.35483307,0.31364277,-6.119721,87.10416,1310.9857268925264,456.96790437506235,3464.384289254279,1443.1220445251206,398.25379522657306,2849.873261921227,2528.5732008346904,1214.9101057295888,6826.025390625,13.422121835193348,5.586549778362972,37.559286064626505,3.3125133e-07,1.5597919e-06,5.3509313e-05,1.2107738,2.1661444,23.401892,0.34631187,0.45530093,0.1983872,blues
blues.00013.au,107.666015625,53,0.045559056,0.02154624,-0.62859094,0.60934377,0.0039296965,0.0014083683,-0.1577487,0.16057985,0.11046274,0.06921046,0.43109193,0.41441903,0.02632999051382444,0.01888824110351018,0.33940983,0.31231114,-2.415096,88.26096,1284.4596485182417,420.66736431593927,2755.6485673825355,1797.8554349518267,315.4481647657329,3153.602531025675,2619.0635059866145,1149.5923942460365,6115.4296875,11.055423613425928,4.199006203370678,40.28318887628675,1.0934657e-06,3.3437842e-05,0.0015900969,0.99771833,0.8347194,6.934772,0.58077323,0.21222647,0.2070003,blues
blues.00008.au,83.35433467741936,41,0.0395814,0.030924633,-0.29409286,0.2823253,0.0065111555,0.0021091832,-0.26392564,0.26058775,0.14075127,0.044241313,0.27591145,0.25387004,0.033390054016821345,0.01584608963211974,0.5029431,0.28922793,3.38848,81.10069,1654.559610345207,407.2750648107849,4150.817338461647,2004.8491987209654,336.5977562388069,2860.486109577087,3671.6653929471195,1124.912357646127,6761.42578125,21.828427241586436,5.140641760815778,56.70969682970538,9.566669e-07,3.3394088e-05,0.0016262428,1.0309594,0.8583091,7.981541,0.43238947,0.28224307,0.28536743,blues
blues.00023.au,184.5703125,91,0.034605876,0.016828954,-0.5312281,0.5757886,0.003950679,0.0013788335,-0.27486077,0.2246664,0.100142084,0.06267561,0.30175328,0.2892018,0.02662832167198376,0.017417058652795376,0.3687813,0.30205902,-3.6983142,96.70104,1145.3818021817463,357.61437488313425,3149.100732249186,1461.2205753338233,244.09981012602697,2363.4761615303564,2367.3722754860546,859.2146601375488,5124.90234375,11.081005102885248,4.489865248487205,56.36200138942257,2.1258609e-07,3.846193e-07,1.23137215e-05,0.97733474,0.8612124,7.5798717,0.573687,0.2248548,0.20145822,blues
blues.00025.au,172.265625,86,0.02757498,0.013329519,-0.76846385,0.78269035,0.0037137934,0.0012377051,-0.27688938,0.2492926,0.087628946,0.0582157,0.4876104,0.4662921,0.026244833961716937,0.019331340170709487,0.39830318,0.3054699,-2.4250412,94.969986,1060.2832694969063,375.0262045760386,2287.5117479936985,1424.839570657324,206.16950960949282,2316.748370383187,2109.3859147559547,966.4361815557666,5038.76953125,10.341243926811535,3.784323956396611,36.54716351272793,1.7270911e-07,6.6525126e-07,3.1732583e-05,0.9963074,0.9615769,9.08864,0.61526376,0.18160275,0.20313348,blues
blues.00029.au,132.51201923076923,64,0.0721834,0.04607314,-0.7226054,0.64562786,0.003655204,0.0007975119,-0.2014652,0.23606437,0.12207247,0.07394465,0.37927774,0.37644583,0.02813621574100928,0.03392446991427119,0.38175723,0.32306546,-6.5632615,91.25918,1540.3856070100258,854.6040105787494,6375.837667828662,2101.0882028884853,458.11083922847223,3368.420185543219,3355.2342716179764,2075.9422852004604,8247.216796875,28.493494089272218,5.238051932609719,53.99575107095963,5.743251e-07,1.0426829e-05,0.0005120857,1.0139308,1.0130681,16.538204,0.57184505,0.21328756,0.21486735,blues
blues.00005.au,69.83741554054055,34,0.035462584,0.020296266,-0.55772966,0.5940321,0.005773464,0.0014392065,-0.49985322,0.5089334,0.10191297,0.06559631,0.46586108,0.46335897,0.04872824070717324,0.04292361055365505,0.3774924,0.29931095,-8.011367,86.65603,1767.2411230906089,1021.9089684117785,5387.854808552258,1678.5303220650958,483.95726800414184,2889.749050086433,3340.311831993078,1865.9259091305469,7816.552734375,14.143010269778195,5.186602556623291,49.50255897563223,4.2427683e-07,3.169084e-06,0.00014512391,1.0017096,1.3925848,15.379716,0.36854258,0.34395373,0.28750372,blues
blues.00015.au,101.33272058823529,49,0.029586576,0.014342441,-0.5054433,0.56592363,0.0034947605,0.0008494253,-0.25100046,0.30132887,0.07886443,0.0557577,0.44737706,0.4396935,0.032513753444025524,0.022996864508075372,0.34411213,0.3262763,-5.1623516,92.55965,1359.35203397261,452.8611783075393,3449.717406178564,1693.2227884468198,292.3782500648057,3063.3511500139684,2762.3259404583164,909.0341981582818,6158.49609375,10.966449517726613,3.970083522483501,45.48132441468471,1.4758214e-06,4.9265065e-05,0.0024178533,1.0393271,0.781016,6.0993032,0.4807733,0.29237908,0.22684766,blues
